location,name,humidity,temperature,timestamp,connectivity,fan_timer,fan_timer_duration,mode,eco,status,coolSet,heatSet
West 5th,Lockers,42,67,2024-02-18T23:47:25.358-06:00,ONLINE,OFF,,HEAT,OFF,OFF,,56
East Austin,CB Lobby,35,69,2024-02-18T23:47:25.358-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,AKT Lobby,32,69,2024-02-18T23:47:25.358-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,CB Theater,34,68,2024-02-18T23:47:25.358-06:00,ONLINE,OFF,,COOL,OFF,OFF,80,
East Austin,Bathrooms,33,68,2024-02-18T23:47:25.358-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
West 5th,Theater,40,70,2024-02-18T23:47:25.358-06:00,ONLINE,OFF,,COOL,OFF,OFF,72,
East Austin,AKT Factory,28,67,2024-02-18T23:47:25.358-06:00,ONLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,42,67,2024-02-18T23:32:41.741-06:00,ONLINE,OFF,,HEAT,OFF,OFF,,56
East Austin,CB Lobby,35,69,2024-02-18T23:32:41.741-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,AKT Lobby,32,69,2024-02-18T23:32:41.741-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,CB Theater,34,68,2024-02-18T23:32:41.741-06:00,ONLINE,OFF,,COOL,OFF,OFF,80,
East Austin,Bathrooms,33,68,2024-02-18T23:32:41.741-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
West 5th,Theater,40,70,2024-02-18T23:32:41.741-06:00,ONLINE,OFF,,COOL,OFF,OFF,72,
East Austin,AKT Factory,28,67,2024-02-18T23:32:41.741-06:00,ONLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,42,67,2024-02-18T23:20:31.994-06:00,ONLINE,OFF,,HEAT,OFF,OFF,,56
East Austin,CB Lobby,35,69,2024-02-18T23:20:31.994-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,AKT Lobby,31,70,2024-02-18T23:20:31.994-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,CB Theater,34,69,2024-02-18T23:20:31.994-06:00,ONLINE,OFF,,COOL,OFF,OFF,80,
East Austin,Bathrooms,33,68,2024-02-18T23:20:31.994-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
West 5th,Theater,40,70,2024-02-18T23:20:31.994-06:00,ONLINE,OFF,,COOL,OFF,OFF,72,
East Austin,AKT Factory,28,67,2024-02-18T23:20:31.994-06:00,ONLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,42,67,2024-02-18T23:03:13.238-06:00,ONLINE,OFF,,HEAT,OFF,OFF,,56
East Austin,CB Lobby,35,69,2024-02-18T23:03:13.238-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,AKT Lobby,31,70,2024-02-18T23:03:13.238-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,CB Theater,34,69,2024-02-18T23:03:13.238-06:00,ONLINE,OFF,,COOL,OFF,OFF,80,
East Austin,Bathrooms,33,68,2024-02-18T23:03:13.238-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
West 5th,Theater,40,70,2024-02-18T23:03:13.238-06:00,ONLINE,OFF,,COOL,OFF,OFF,72,
East Austin,AKT Factory,27,68,2024-02-18T23:03:13.238-06:00,ONLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,42,67,2024-02-18T22:47:28.675-06:00,ONLINE,OFF,,HEAT,OFF,OFF,,56
East Austin,CB Lobby,35,69,2024-02-18T22:47:28.675-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,AKT Lobby,31,70,2024-02-18T22:47:28.675-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,CB Theater,34,69,2024-02-18T22:47:28.675-06:00,ONLINE,OFF,,COOL,OFF,OFF,80,
East Austin,Bathrooms,33,68,2024-02-18T22:47:28.675-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
West 5th,Theater,40,70,2024-02-18T22:47:28.675-06:00,ONLINE,OFF,,COOL,OFF,OFF,72,
East Austin,AKT Factory,27,67,2024-02-18T22:47:28.675-06:00,ONLINE,OFF,,COOL,OFF,OFF,78,
