location,name,humidity,temperature,timestamp,connectivity,fan_timer,fan_timer_duration,mode,eco,status,coolSet,heatSet
West 5th,Lockers,54,66,2024-03-02T12:22:14.647-06:00,ONLINE,OFF,,COOL,OFF,COOLING,65,
East Austin,CB Lobby,54,72,2024-03-02T12:22:14.647-06:00,ONLINE,OFF,,COOL,OFF,OFF,75,
East Austin,AKT Lobby,53,71,2024-03-02T12:22:14.647-06:00,ONLINE,OFF,,COOL,OFF,OFF,73,
East Austin,CB Theater,60,68,2024-03-02T12:22:14.647-06:00,ONLINE,OFF,,COOL,OFF,OFF,72,
East Austin,Bathrooms,58,71,2024-03-02T12:22:14.647-06:00,ONLINE,OFF,,COOL,OFF,OFF,75,
West 5th,Theater,53,66,2024-03-02T12:22:14.647-06:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,AKT Factory,68,67,2024-03-02T12:22:14.647-06:00,ONLINE,OFF,,COOL,OFF,OFF,69,
West 5th,Lockers,59,64,2024-03-02T12:03:26.084-06:00,ONLINE,OFF,,COOL,OFF,OFF,65,
East Austin,CB Lobby,53,71,2024-03-02T12:03:26.084-06:00,ONLINE,OFF,,COOL,OFF,OFF,75,
East Austin,AKT Lobby,53,71,2024-03-02T12:03:26.084-06:00,ONLINE,OFF,,COOL,OFF,OFF,73,
East Austin,CB Theater,60,67,2024-03-02T12:03:26.084-06:00,ONLINE,OFF,,COOL,OFF,OFF,72,
East Austin,Bathrooms,58,71,2024-03-02T12:03:26.084-06:00,ONLINE,OFF,,COOL,OFF,OFF,75,
West 5th,Theater,60,67,2024-03-02T12:03:26.084-06:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
East Austin,AKT Factory,65,70,2024-03-02T12:03:26.084-06:00,ONLINE,OFF,,COOL,OFF,OFF,69,
West 5th,Lockers,62,65,2024-03-02T11:47:36.021-06:00,ONLINE,OFF,,COOL,OFF,COOLING,65,
East Austin,CB Lobby,54,71,2024-03-02T11:47:36.021-06:00,ONLINE,OFF,,COOL,OFF,OFF,75,
East Austin,AKT Lobby,53,71,2024-03-02T11:47:36.021-06:00,ONLINE,OFF,,COOL,OFF,OFF,73,
East Austin,CB Theater,59,66,2024-03-02T11:47:36.021-06:00,ONLINE,OFF,,COOL,OFF,COOLING,66,
East Austin,Bathrooms,60,71,2024-03-02T11:47:36.021-06:00,ONLINE,OFF,,COOL,OFF,OFF,75,
West 5th,Theater,72,69,2024-03-02T11:47:36.021-06:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
East Austin,AKT Factory,66,69,2024-03-02T11:47:36.021-06:00,ONLINE,OFF,,COOL,OFF,OFF,69,
West 5th,Lockers,56,65,2024-03-02T11:33:03.513-06:00,ONLINE,OFF,,COOL,OFF,OFF,65,
East Austin,CB Lobby,59,72,2024-03-02T11:33:03.513-06:00,ONLINE,OFF,,COOL,OFF,OFF,75,
East Austin,AKT Lobby,52,72,2024-03-02T11:33:03.513-06:00,ONLINE,OFF,,COOL,OFF,OFF,73,
East Austin,CB Theater,65,69,2024-03-02T11:33:03.513-06:00,ONLINE,OFF,,COOL,OFF,COOLING,65,
East Austin,Bathrooms,60,71,2024-03-02T11:33:03.513-06:00,ONLINE,OFF,,COOL,OFF,OFF,75,
West 5th,Theater,85,71,2024-03-02T11:33:03.513-06:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
East Austin,AKT Factory,68,68,2024-03-02T11:33:03.513-06:00,ONLINE,OFF,,COOL,OFF,OFF,69,
West 5th,Lockers,55,65,2024-03-02T11:19:23.891-06:00,ONLINE,OFF,,COOL,OFF,OFF,65,
East Austin,CB Lobby,59,71,2024-03-02T11:19:23.891-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,52,72,2024-03-02T11:19:23.891-06:00,ONLINE,OFF,,COOL,OFF,OFF,72,
East Austin,CB Theater,69,69,2024-03-02T11:19:23.891-06:00,ONLINE,OFF,,COOL,OFF,COOLING,65,
East Austin,Bathrooms,57,71,2024-03-02T11:19:23.891-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,81,70,2024-03-02T11:19:23.891-06:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
East Austin,AKT Factory,62,67,2024-03-02T11:19:23.891-06:00,ONLINE,OFF,,COOL,OFF,OFF,68,
West 5th,Lockers,55,64,2024-03-02T11:03:20.367-06:00,ONLINE,OFF,,COOL,OFF,OFF,65,
East Austin,CB Lobby,52,71,2024-03-02T11:03:20.367-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,50,71,2024-03-02T11:03:20.367-06:00,ONLINE,OFF,,COOL,OFF,OFF,72,
East Austin,CB Theater,85,70,2024-03-02T11:03:20.367-06:00,ONLINE,OFF,,COOL,OFF,COOLING,65,
East Austin,Bathrooms,53,70,2024-03-02T11:03:20.367-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,69,69,2024-03-02T11:03:20.367-06:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
East Austin,AKT Factory,61,69,2024-03-02T11:03:20.367-06:00,ONLINE,OFF,,COOL,OFF,OFF,68,
West 5th,Lockers,55,65,2024-03-02T10:47:28.204-06:00,ONLINE,OFF,,COOL,OFF,COOLING,65,
East Austin,CB Lobby,54,71,2024-03-02T10:47:28.204-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
