location,name,humidity,temperature,timestamp,connectivity,fan_timer,fan_timer_duration,mode,eco,status,coolSet,heatSet
West 5th,Lockers,51,67,2024-03-20T11:22:15.425-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,CB Lobby,64,75,2024-03-20T11:22:15.425-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-20T11:22:15.425-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-20T11:22:15.425-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-20T11:22:15.425-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,50,66,2024-03-20T11:22:15.425-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,AKT Factory,83,73,2024-03-20T11:22:15.425-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,52,67,2024-03-20T11:04:24.651-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,CB Lobby,64,75,2024-03-20T11:04:24.651-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-20T11:04:24.651-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-20T11:04:24.651-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-20T11:04:24.651-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,51,67,2024-03-20T11:04:24.651-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,AKT Factory,83,73,2024-03-20T11:04:24.651-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,53,67,2024-03-20T10:47:34.863-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,CB Lobby,64,75,2024-03-20T10:47:34.863-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-20T10:47:34.863-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-20T10:47:34.863-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-20T10:47:34.863-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,52,67,2024-03-20T10:47:34.863-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,AKT Factory,83,73,2024-03-20T10:47:34.863-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,54,68,2024-03-20T10:32:39.073-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,CB Lobby,64,75,2024-03-20T10:32:39.073-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-20T10:32:39.073-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-20T10:32:39.073-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-20T10:32:39.073-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,53,68,2024-03-20T10:32:39.073-05:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
East Austin,AKT Factory,83,73,2024-03-20T10:32:39.073-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,54,67,2024-03-20T10:20:35.317-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,CB Lobby,64,75,2024-03-20T10:20:35.317-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-20T10:20:35.317-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-20T10:20:35.317-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-20T10:20:35.317-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,54,66,2024-03-20T10:20:35.317-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,AKT Factory,83,73,2024-03-20T10:20:35.317-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,55,67,2024-03-20T10:03:17.733-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,CB Lobby,64,75,2024-03-20T10:03:17.733-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-20T10:03:17.733-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-20T10:03:17.733-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-20T10:03:17.733-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,52,67,2024-03-20T10:03:17.733-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,AKT Factory,83,73,2024-03-20T10:03:17.733-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,53,67,2024-03-20T09:47:32.953-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,CB Lobby,64,75,2024-03-20T09:47:32.953-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-20T09:47:32.953-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-20T09:47:32.953-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-20T09:47:32.953-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,51,68,2024-03-20T09:47:32.953-05:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
East Austin,AKT Factory,83,73,2024-03-20T09:47:32.953-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,53,68,2024-03-20T09:32:34.052-05:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
East Austin,CB Lobby,64,75,2024-03-20T09:32:34.052-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-20T09:32:34.052-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-20T09:32:34.052-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-20T09:32:34.052-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,52,68,2024-03-20T09:32:34.052-05:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
East Austin,AKT Factory,83,73,2024-03-20T09:32:34.052-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,54,68,2024-03-20T09:20:33.951-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,CB Lobby,64,75,2024-03-20T09:20:33.951-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-20T09:20:33.951-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-20T09:20:33.951-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-20T09:20:33.951-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,53,68,2024-03-20T09:20:33.951-05:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
East Austin,AKT Factory,83,73,2024-03-20T09:20:33.951-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,55,68,2024-03-20T09:03:21.369-05:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
East Austin,CB Lobby,64,75,2024-03-20T09:03:21.369-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-20T09:03:21.369-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-20T09:03:21.369-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-20T09:03:21.369-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,55,68,2024-03-20T09:03:21.369-05:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
East Austin,AKT Factory,83,73,2024-03-20T09:03:21.369-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,59,67,2024-03-20T08:47:27.614-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,CB Lobby,64,75,2024-03-20T08:47:27.614-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-20T08:47:27.614-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-20T08:47:27.614-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-20T08:47:27.614-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,54,69,2024-03-20T08:47:27.614-05:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
East Austin,AKT Factory,83,73,2024-03-20T08:47:27.614-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,56,67,2024-03-20T08:32:33.368-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,CB Lobby,64,75,2024-03-20T08:32:33.368-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-20T08:32:33.368-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-20T08:32:33.368-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-20T08:32:33.368-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,56,67,2024-03-20T08:32:33.368-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,AKT Factory,83,73,2024-03-20T08:32:33.368-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,58,67,2024-03-20T08:22:08.205-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,CB Lobby,64,75,2024-03-20T08:22:08.205-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-20T08:22:08.205-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-20T08:22:08.205-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-20T08:22:08.205-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,59,68,2024-03-20T08:22:08.205-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,AKT Factory,83,73,2024-03-20T08:22:08.205-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,61,67,2024-03-20T08:05:58.588-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,CB Lobby,64,75,2024-03-20T08:05:58.588-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-20T08:05:58.588-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-20T08:05:58.588-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-20T08:05:58.588-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,67,68,2024-03-20T08:05:58.588-05:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
East Austin,AKT Factory,83,73,2024-03-20T08:05:58.588-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,56,67,2024-03-20T07:50:22.526-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,CB Lobby,64,75,2024-03-20T07:50:22.526-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-20T07:50:22.526-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-20T07:50:22.526-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-20T07:50:22.526-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,68,68,2024-03-20T07:50:22.526-05:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
East Austin,AKT Factory,83,73,2024-03-20T07:50:22.526-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,52,67,2024-03-20T07:38:18.927-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,CB Lobby,64,75,2024-03-20T07:38:18.927-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-20T07:38:18.927-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-20T07:38:18.927-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-20T07:38:18.927-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,66,68,2024-03-20T07:38:18.927-05:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
East Austin,AKT Factory,83,73,2024-03-20T07:38:18.927-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,53,66,2024-03-20T07:23:32.739-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,CB Lobby,64,75,2024-03-20T07:23:32.739-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-20T07:23:32.739-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-20T07:23:32.739-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-20T07:23:32.739-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,55,67,2024-03-20T07:23:32.739-05:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
East Austin,AKT Factory,83,73,2024-03-20T07:23:32.739-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,53,67,2024-03-20T07:04:50.233-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,CB Lobby,64,75,2024-03-20T07:04:50.233-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-20T07:04:50.233-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-20T07:04:50.233-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-20T07:04:50.233-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,58,67,2024-03-20T07:04:50.233-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,AKT Factory,83,73,2024-03-20T07:04:50.233-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,49,67,2024-03-20T06:47:48.452-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,CB Lobby,64,75,2024-03-20T06:47:48.452-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-20T06:47:48.452-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-20T06:47:48.452-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
