location,name,humidity,temperature,timestamp,connectivity,fan_timer,fan_timer_duration,mode,eco,status,coolSet,heatSet
West 5th,Lockers,47,71,2024-03-15T19:11:03.102-05:00,ONLINE,OFF,,HEAT,OFF,HEATING,,72
East Austin,CB Lobby,64,75,2024-03-15T19:11:03.102-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-15T19:11:03.102-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-15T19:11:03.102-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-15T19:11:03.102-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,51,66,2024-03-15T19:11:03.102-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,AKT Factory,83,73,2024-03-15T19:11:03.102-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,48,71,2024-03-15T18:47:14.389-05:00,ONLINE,OFF,,HEAT,OFF,HEATING,,72
East Austin,CB Lobby,64,75,2024-03-15T18:47:14.389-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-15T18:47:14.389-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-15T18:47:14.389-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-15T18:47:14.389-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,51,68,2024-03-15T18:47:14.389-05:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
East Austin,AKT Factory,83,73,2024-03-15T18:47:14.389-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,48,71,2024-03-15T18:32:25.901-05:00,ONLINE,OFF,,HEAT,OFF,HEATING,,72
East Austin,CB Lobby,64,75,2024-03-15T18:32:25.901-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-15T18:32:25.901-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-15T18:32:25.901-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-15T18:32:25.901-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,52,68,2024-03-15T18:32:25.901-05:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
East Austin,AKT Factory,83,73,2024-03-15T18:32:25.901-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,48,71,2024-03-15T18:20:04.836-05:00,ONLINE,OFF,,HEAT,OFF,HEATING,,72
East Austin,CB Lobby,64,75,2024-03-15T18:20:04.836-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-15T18:20:04.836-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-15T18:20:04.836-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-15T18:20:04.836-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,52,66,2024-03-15T18:20:04.836-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,AKT Factory,83,73,2024-03-15T18:20:04.836-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,49,71,2024-03-15T18:03:22.006-05:00,ONLINE,OFF,,HEAT,OFF,HEATING,,72
East Austin,CB Lobby,64,75,2024-03-15T18:03:22.006-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-15T18:03:22.006-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-15T18:03:22.006-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-15T18:03:22.006-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,54,67,2024-03-15T18:03:22.006-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,AKT Factory,83,73,2024-03-15T18:03:22.006-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,51,72,2024-03-15T17:47:39.250-05:00,ONLINE,OFF,,HEAT,OFF,OFF,,72
East Austin,CB Lobby,64,75,2024-03-15T17:47:39.250-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-15T17:47:39.250-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-15T17:47:39.250-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-15T17:47:39.250-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,55,68,2024-03-15T17:47:39.250-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,AKT Factory,83,73,2024-03-15T17:47:39.250-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,52,72,2024-03-15T17:32:33.800-05:00,ONLINE,OFF,,HEAT,OFF,OFF,,72
East Austin,CB Lobby,64,75,2024-03-15T17:32:33.800-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-15T17:32:33.800-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-15T17:32:33.800-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-15T17:32:33.800-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,57,66,2024-03-15T17:32:33.800-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,AKT Factory,83,73,2024-03-15T17:32:33.800-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,53,72,2024-03-15T17:20:32.347-05:00,ONLINE,OFF,,HEAT,OFF,HEATING,,72
East Austin,CB Lobby,64,75,2024-03-15T17:20:32.347-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,64,74,2024-03-15T17:20:32.347-05:00,OFFLINE,OFF,,COOL,MANUAL_ECO,OFF,,
East Austin,CB Theater,60,75,2024-03-15T17:20:32.347-05:00,OFFLINE,OFF,,COOL,OFF,OFF,68,
East Austin,Bathrooms,68,73,2024-03-15T17:20:32.347-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,63,68,2024-03-15T17:20:32.347-05:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
East Austin,AKT Factory,83,73,2024-03-15T17:20:32.347-05:00,OFFLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,46,72,2024-03-15T17:04:14.138-05:00,ONLINE,OFF,,HEAT,OFF,OFF,,72
East Austin,CB Lobby,64,75,2024-03-15T17:04:14.138-05:00,OFFLINE,OFF,,COOL,OFF,OFF,74,
