location,name,humidity,temperature,timestamp,connectivity,fan_timer,fan_timer_duration,mode,eco,status,coolSet,heatSet
West 5th,Lockers,44,66,2024-02-17T23:47:12.941-06:00,ONLINE,OFF,,HEAT,OFF,OFF,,56
East Austin,CB Lobby,36,67,2024-02-17T23:47:12.941-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,AKT Lobby,34,68,2024-02-17T23:47:12.941-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,CB Theater,39,67,2024-02-17T23:47:12.941-06:00,ONLINE,OFF,,COOL,OFF,OFF,80,
East Austin,Bathrooms,37,68,2024-02-17T23:47:12.941-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
West 5th,Theater,41,69,2024-02-17T23:47:12.941-06:00,ONLINE,OFF,,OFF,OFF,OFF,,
East Austin,AKT Factory,31,66,2024-02-17T23:47:12.941-06:00,ONLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,44,66,2024-02-17T23:32:38.450-06:00,ONLINE,OFF,,HEAT,OFF,OFF,,56
East Austin,CB Lobby,36,68,2024-02-17T23:32:38.450-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,AKT Lobby,34,69,2024-02-17T23:32:38.450-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,CB Theater,39,68,2024-02-17T23:32:38.450-06:00,ONLINE,OFF,,COOL,OFF,OFF,80,
East Austin,Bathrooms,37,68,2024-02-17T23:32:38.450-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
West 5th,Theater,41,70,2024-02-17T23:32:38.450-06:00,ONLINE,OFF,,OFF,OFF,OFF,,
East Austin,AKT Factory,32,66,2024-02-17T23:32:38.450-06:00,ONLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,44,67,2024-02-17T23:20:13.054-06:00,ONLINE,OFF,,HEAT,OFF,OFF,,56
East Austin,CB Lobby,38,68,2024-02-17T23:20:13.054-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,AKT Lobby,34,69,2024-02-17T23:20:13.054-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,CB Theater,39,68,2024-02-17T23:20:13.054-06:00,ONLINE,OFF,,COOL,OFF,OFF,80,
East Austin,Bathrooms,37,68,2024-02-17T23:20:13.054-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
West 5th,Theater,41,70,2024-02-17T23:20:13.054-06:00,ONLINE,OFF,,OFF,OFF,OFF,,
East Austin,AKT Factory,32,66,2024-02-17T23:20:13.054-06:00,ONLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,44,67,2024-02-17T23:03:23.446-06:00,ONLINE,OFF,,HEAT,OFF,OFF,,56
East Austin,CB Lobby,38,68,2024-02-17T23:03:23.446-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,AKT Lobby,34,69,2024-02-17T23:03:23.446-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,CB Theater,41,68,2024-02-17T23:03:23.446-06:00,ONLINE,OFF,,COOL,OFF,OFF,80,
East Austin,Bathrooms,37,68,2024-02-17T23:03:23.446-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
West 5th,Theater,41,70,2024-02-17T23:03:23.446-06:00,ONLINE,OFF,,OFF,OFF,OFF,,
East Austin,AKT Factory,32,67,2024-02-17T23:03:23.446-06:00,ONLINE,OFF,,COOL,OFF,OFF,78,
West 5th,Lockers,44,67,2024-02-17T22:47:30.301-06:00,ONLINE,OFF,,HEAT,OFF,OFF,,56
East Austin,CB Lobby,38,68,2024-02-17T22:47:30.301-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,AKT Lobby,34,69,2024-02-17T22:47:30.301-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
East Austin,CB Theater,41,68,2024-02-17T22:47:30.301-06:00,ONLINE,OFF,,COOL,OFF,OFF,80,
East Austin,Bathrooms,37,68,2024-02-17T22:47:30.301-06:00,ONLINE,OFF,,COOL,OFF,OFF,84,
West 5th,Theater,42,70,2024-02-17T22:47:30.301-06:00,ONLINE,OFF,,OFF,OFF,OFF,,
East Austin,AKT Factory,32,67,2024-02-17T22:47:30.301-06:00,ONLINE,OFF,,COOL,OFF,OFF,78,
